North Square
Review,Rating,Date
We have been to this restaurant many times before a show at NYU. Perfectly fine but a shame they now use Resy for their reservation system. Resy is an absolute disaster.,4,"Dined on December 16, 2017"
"Delicious. Nice people. Bring a sphere. The lady who was singing, Roz, gracious great voice definitely a place you want to go on a Sunday to really enjoy an outstanding brunch. Really enjoyed it.",5,"Dined on December 10, 2017"
"A group of friends get together for brunch here twice a year—we like the convenient location (is just down the block from large subway station), the warm ambiance of the space (especially pretty for the December holiday brunch, as the restaurant is nicely decorated), and the very reasonable prices (for Manhattan).",4,"Dined on December 9, 2017"
"This is my ""go to"" restaurant if I want to have conversation where we can all hear each other.  The food is consistently excellent as is the service.",5,"Dined on December 6, 2017"
Charming Village spot with good food and service.  Liked it so much we went 2 evenings in a row!,5,"Dined on December 4, 2017"
Relaxed and extra pleasant. Very well prepared dishes.,5,"Dined on December 3, 2017"
"great food, neighborhood gem but no ambiance. The dining room could use an update, but then the prices would probably go up. My friend lives 2 blocks away and we couldn't believe we'd never been. It's a great place to go for food that is reasonably prices with really nice servers, and have a conversation with your friends.  definitely recommend",4,"Dined on December 2, 2017"
Excellent dining option for professors (and students) visiting NYU. Friendly service and good traditional American fare with some great tap beers. The $25 lunch prix fixe menu was a bargain.,5,"Dined on November 29, 2017"
The food was delicious as usual.  Friends who had never eaten here before loved it.,5,"Dined on November 29, 2017"
"Thanksgiving dinner was both lively and delicious. The quail appetizer was excellently tender and juicy,  the scallops perfect as well. North Square doesn’t disappoint. Michael greeted us at the door like long lost relatives and we were delighted to have been recognized.  This place deserves to stay around!",5,"Dined on November 24, 2017"
"Next three tables way too noisy. Too many""professional"" women trying to out talk each other. We had to strain to hear each other. Was not pleasant.",3,"Dined on November 21, 2017"
"We reserved and specifically asked for the Jazz seating and we were happy with our experience.  The meal was quite good and the cost  was very reasonable at $20 Price fix for brunch.  It included a mimosa and coffee or tea.  $20 brunch and live jazz, can't beat that!",5,"Dined on November 19, 2017"
"Once again, North Square provided a wonderful setting for a get-together with friends.  The food was excellent, the ambiance also -- music muted in the background -- and the service was very good.  North Square is a restaurant in which you can actually talk without screaming to be heard over the music and the noise of a crowd.  I would recommend North Square to anyone who wants a really good meal, at a reasonable price, in a restaurant for grownups.",4,"Dined on November 19, 2017"
"I had a wonderful brunch there and decided to host a party for 12. Mike couldnt have more lovely and accommodating. As the host, they made me feel like VIP. We had an awesome party. Everything loved it. Will absolutely be back to this neighborhood gem.",5,"Dined on November 18, 2017"
"It is always a pleasure to dine at North Square.  Moderate priced food that is creatively made.
A great place to hang out.",4,"Dined on November 15, 2017"
"The perfect place for a good meal in a quiet setting. I ordered the tagine - which was more like a curry than tagine, but it was very good. The service was quick and the staff was kind. I would return.",4,"Dined on November 15, 2017"
"Surprise good find! innovative menu and deliciously prepared. its in the basement of a hotel, at first glance you would not expect much, but it was surprisingly good.",4,"Dined on November 13, 2017"
"Again the service was warm and friendly and the happy-hour specials yummy good deals... I vow to return with a full crew of entree-eating friends one day soon, smiles. Thank you.",5,"Dined on November 11, 2017"
Second lunch visit reinforced my initial impression that this restaurant offers consistently excellent dining experience. Will be back.,4,"Dined on November 10, 2017"
excellent  food. many fish choices. good service. quiet,5,"Dined on November 10, 2017"
"This was a return visit for several friends who gathered from all over the world (Europe, Japan, Canada and US). We had gathered at North Square 3 years ago, and wanted to celebrate together again. The Maitre D, Michael, was so helpful and accommodating when we needed to add more seats to my reservation. Dinner was delicious. Thanks for the great memories again.",5,"Dined on November 5, 2017"
This is a lovely restaurant right across the street from Washington Square Park and this was my second time dining there.  I enjoyed the freshness and imaginative quaity of the food and the service could not have been better.  I had salmon encrusted with pumpkin seed and a crab and roasted corn salad to start.  Both of the dishes were excellent.  The room is very upscale and calm with a terrific cozy lounge area in the back.  A wonderful neighborhood place to eat next time you are in the Village.,5,"Dined on November 4, 2017"
The service at North Square was incredible and the food was absolutely amazing!,5,"Dined on November 4, 2017"
"North Square is my favorite Village restaurant.  Always reliable: good food, good service, good ambiance & quite enough to have a conversation.",5,"Dined on November 3, 2017"
"Great find! Took my mom and friends for her birthday. Varied, delicious menu. Attentive service. Very private-feeling tables with lots of space around them so you can actually hold a conversation over dinner. The burger is fantastic. Would recommended to anyone not looking for ""a scene,"" just a really nice meal out. We'll be back.",5,"Dined on October 23, 2017"
"My new favorite restaurant. Delicious food, beautiful atmosphere, excellent service and affordable!",5,"Dined on October 22, 2017"
The  food here is great.The service is excellent.My husband and I have been here a few times and the food is consistently good,5,"Dined on October 15, 2017"
"Always a good bet for lunch and dinner. Staff is always gracious and kind, and food is reliably and creatively good. I consider North Square my “default” restaurant",5,"Dined on October 11, 2017"
"Great atmosphere and delicious food & bread basket! Plus amazing $30 Prix Fix Sunday Brunch Deal (1 coffee/orange juice, 1 brunch cocktail, 1 select brunch entree).  Follow the open table instructions to get seating in the Lounge area for the live jazz during Sunday Brunch.",5,"Dined on October 8, 2017"
"I needed a nice place to take my family for a brunch and I have always had nice dinners and thought it would be good for lunch too.  My family was impressed with the ambiance, service and food.  The bread basket that they bring is great.  Lots of different breads and muffins is nice sized portions.  Three of us had the crab cakes and we all loved them.  The coffee was excellent and whenever we finished a cup the waiter brought more.",5,"Dined on October 8, 2017"
Quiet. Off the beaten path. Gracious service and good food.,5,"Dined on October 8, 2017"
"A joy as always. Pleasant atmosphere, excellent food, good wine selection and friendly service. We dine here whenever we attend a function at NYU, it adds to the overall experience.",5,"Dined on September 29, 2017"
"The so-called lobster and crab cakes, which one of our guests had as an entree, was very unsatisfactory.   Spicy and no discernable taste of either crab or lobster.  The other dishes were fine.",4,"Dined on September 26, 2017"
My great-neice and her fiancé were visiting from the U.K. And brought me here for a lovely dinner. Food was delightful and we're planning a return when they come again for jazz brunch on Sunday.,5,"Dined on September 25, 2017"
"As always, food, service and ambiance were spot-on.   This restaurant is a Village favorite for  well prepared food and good conversation due to good table spacing and a moderate noise level which allows for conversation without shouting, a rarity in Manhattan.",5,"Dined on September 21, 2017"
Good value where you don't expect it interesting menu. Much better than you might expect in a hotel restaurant.,4,"Dined on September 18, 2017"
"We enjoyed the lobster & crab cakes, blackened halibut, and pan seared scallops. Everything was tasty and well cooked.",4,"Dined on September 17, 2017"
Always have good food and great service in a quiet place.,5,"Dined on September 12, 2017"
"Introduced friends from DC to the restaurant because the food is always interesting and well-prepared and the restauarant is quiet enough that one can actually have a conversation. Wilson was new, there just 2 weeks he said, but he did a great job of taking care of the 4 of us. Good food, value and service. They are doing a good job.",4,"Dined on September 11, 2017"
Excellent food; warm service; lovely ambiance; not noisy at all. In sum: a grownup resto!,5,"Dined on August 30, 2017"
"This restaurant was perfect after dropping my daughter off at NYU!  It was a block from her dorm, Lipton!  The food was amazing, too - just what we needed!",3,"Dined on August 28, 2017"
From beginning to end a perfect dining experience.,5,"Dined on August 27, 2017"
"North Square is a lovely place to enjoy fine food in a casual setting.  Each time we go I am surprised at how  excellent the quality of the ingredients and cooking is.  This past visit I had a crab salad appetizer and an order of soft shell crab.  The salad was beautifully presented and the softshell, fried  in a light tempura batter, was delicious.

The prices are extremely low for the quality of the food.",5,"Dined on July 20, 2017"
"Very nice place with excellent food and friendly service.  Quiet enough to have a conversation
and good table spacing.   Older crowd, so not too noisy.  Would like a few more menu options since I have a shellfish allergy, but will go back.",5,"Dined on July 15, 2017"
"I keep coming back to North Square. This time, my friends asked to come back there. They remembered the good food and the quiet, comfortable table for five. It was a pleasure to return.",5,"Dined on July 12, 2017"
"Always a pleasure to dine at North Square.  My first time for brunch and was not disappointed. Live jazz was beautiful background - we sat in the main room. Everything was great - service, menu choices and price.  This neighborhood gem is consistently good after many years",5,"Dined on July 9, 2017"
"Excellent service by Jacob S.; accommodated food allergy, picky kid eater and special request.  Lovely atmosphere with beautiful surroundings, good lighting, fresh flowers and friendly staff.  Fantastic food with spot on recommendation by Jacob of arctic char,  crab cakes, wine choices.  We had a lovely family get together celebrating a niece's performance with Rockettes summer camp at Skirball Center.   We will come back.",5,"Dined on July 8, 2017"
This is a great restaurant. I've dubbed it 'my kitchen' and meet friends and family there often. So comfortable and good is always excellent.,5,"Dined on July 6, 2017"
"Food was not at all tasty. Server had no idea what she was doing, knew nothing about the menu, & never poured our wine. didn't ask if we liked our meals, either. No way we'll return.",1,"Dined on July 3, 2017"
"Food was good, waiting staff helpful but felt that as a solo diner my food was taking longer to arrive than other groups of diners.",3,"Dined on July 3, 2017"
The food was delicious. The Place is lovely without being pretentious. What makes this wonderful is that you can have a real conversation...no noise drowning out your words and unhurried service. You can relax while enjoying beautifully prepared food with loved ones or friends. And the topper is that the prices are really reasonable. BTW... the chocolate mousse cake is fantastic!! Enjoy!!!,4,"Dined on June 23, 2017"
"I hadn't been to North Square in some time; I keep it for special occasions. I am happy to say that the reception, menu, food, and service have kept to their high standard. It was a very enjoyable and satisfying occasion.",4,"Dined on June 23, 2017"
"Great menu choices and great food at reasonable prices.
Also, nice wine list.",4,"Dined on June 21, 2017"
"since I first came to North Square I have really enjoyed every meal - perfect for a date, a special occasion, or just a lovely relaxing dinner.  the prices are very reasonable for the quality of food - a great prix fixe - good happy hour and bar menu- on this occasion the restaurant offered a birthday entrée on the house to celebrate. and gave a complimentary dessert wine. The were very nice and made it feel like a special occasion to me. I always recommend it. Love this place.",5,"Dined on June 20, 2017"
"First, the decor can be a little off-putting, because nothing about it says ""heart of the West Village"" or conveys the history of Washington Square Park, where it's located.  In fact, you could be in ""Anywhere, USA"".  But don't let the decor put you off. 

I've eaten there a few times and the food is always excellent.  2 of us had arctic char, which was prepared perfectly: moist, with a crunch skin.  One person at the table orders duck wherever she goes, and she couldn't say enough about how delicious it was there.  The birthday boy had rack of lamb, which he had eaten there many times before, and he loved it.  Someone else had salmon, and she likes it almost completely raw.  She complains constantly at restaurants that it isn't rare enough, but they got it right.  The servers are attentive to requests and they don't get it wrong.

Perhaps most importantly, the noise level is low and everyone can hear everyone else.  I'm tired of straining my voice in restaurants.  I suppose the noise level at so many NYC restaurants  is supposed to give it a festive mood, but I strain my voice enough in my work; I don't like to fight ambient noise when I'm eating.  I'm young, but 2 members of our party were older, and noisy restaurants just don't work for them.  The volume at this place is perfect.

Obviously, it's not a secret in the neighborhood.  The place appears to have a lot of loyal locals, many of whom look liked they've lived in the area for a long time.  I suppose there are some people from the hotel that houses the restaurant.  But, mostly, it seemed to be people like us who wanted to eat a delicious dinner, celebrate a birthday (there was another birthday at a table nearby) and enjoy the company of their friends/family without all the noise.

We are becoming regulars.",5,"Dined on June 10, 2017"
"One of our favorite restaurants when we are going to be in the neighborhood.
The food is always very good and the service is attentive and  warm",4,"Dined on June 10, 2017"
"Consistently friendly service, very good food, approachable wine list, and reasonable prices.",5,"Dined on June 10, 2017"
"I love North Square for it's friendliness, always excellent food, and (usually) the possibility for quiet, private conversation.  This night there was a group, so the maitre de suggested I sit closer to the front - because restaurant's L-shape, I wasn't even aware they were there.  I had the duck,    and my friend had the rack of lamb; both were cooked to perfection with slightly sweet but subtle sauces.  Unfortunately we had to refrain from sampling the amazing desserts this time.",5,"Dined on June 9, 2017"
The live music on Sunday was a very nice touch to the ambiance!,5,"Dined on June 4, 2017"
We visited here last year on our yearly trip to NYC and loved it. We decided to come again this year but were disappointed. One of our friends has celiac disease and was well taken care of last year by your staff. This year our waitress seemed annoyed and put off by some dietary requests. She seemed distracted all night and not attentive to our table. Unfortunately we will not be back,3,"Dined on June 4, 2017"
"Nice restaurant in the corner of Washington Square
The food and service were very good.
It has very nice art deco paintings",4,"Dined on June 1, 2017"
"Bottom Line up-front: We like North Square a lot and have come here for years. Years.

However, this particular occasion, it felt different. Maybe it was the loud-talkers (very unusual for this place) across the center aisle. Or the boisterous babies (also unusual). But also, the casual formality seemed to be missing, which was a little sad. But, we'll be back. Oh yes, we'll be back.",4,"Dined on May 31, 2017"
"Fine, straight-forward meal. Out of first choice wine, but a modest local product was good. Well intentioned service; all good for a quiet night.",4,"Dined on May 30, 2017"
Service even better than the food. Accomdared our super late arrival for brunch. We came back with another friend for Happy Hour. Great service John serving and unamed bartender for drinks and personality.,5,"Dined on May 29, 2017"
"North Square is, in my opinion of course, the best restaurant in the Village.  It is quiet, pretty and the food is always good.   The service is also always friendly and efficient.   I love this restaurant and have never had a bad meal there.",5,"Dined on May 28, 2017"
"My friends and I have enjoyed North Square's charms before. While we were disappointed to discover the bar was closed for an event and so no happy hour, the manager and staff were nice and accommodating to our every need. One of our party was an hour late and we talked hours longer than planned. Instead of making us feel rushed we were treated like family. Excellent food and the soup is always a treat. My friend loved her wine as well. Even not on a holiday weekend we hope to come again and not overstay our time. Thank you again!",5,"Dined on May 27, 2017"
North Square is a go to place for a lovely neighborhood dinner as well as a comfortable happy hour in the bar area.,4,"Dined on May 23, 2017"
"Great jazz brunch!  Servers very nice but needed a little tightening up. Not busy but waited at the door, were not sitting in the room with the music as requested by phone, dirty dishes not cleared for 25 mins etc.  All of that said, food music and atmosphere are great and it's a good value for the price.",4,"Dined on May 21, 2017"
"This was a great find for us. We were able to have a leisurely brunch with friends, we never felt rushed be cause they needed the table. The food was delicious and the drinks were just perfect  (with plenty to chose) for a Sunday afternoon.",5,"Dined on May 21, 2017"
"The restaurant was very comfortable and the food was nicely prepared and fairly priced. I was a little surprised that the server knew nothing about wine and disappointed that she had to be asked to get someone who did. And strangely, she also couldn't answer a question about one of the desserts coherently.
But all in all, we had a very pleasant evening.",4,"Dined on May 20, 2017"
This is a wonderful restaurant. It feels like a local place where it is easy to meet nice people & the staff are friendly & unhurried. Food is reliably good.,4,"Dined on May 20, 2017"
"My new favorite restaurant! Everything was superb: the food, service, ambiance, and very low noise level.",5,"Dined on May 18, 2017"
Jazz brunch in the back room. Very enjoyable.,4,"Dined on May 14, 2017"
"Went for Mother's Day, admittedly a busy day for restaurants. That said,  service was not good, even with a low bar. Had to ask for coffee multiple times, when I got it and asked for milk, the waiter came back and poured some milk right into my coffee. Had the tasting plate, scrambled eggs were liquid. I would have sent them back, but no one ever showed up again. On the positive side, the pumpkin pancakes were very good.",3,"Dined on May 14, 2017"
"We went for a Mothers' Day dinner. The food is excellent, and the service is excellent as well.",4,"Dined on May 14, 2017"
"Always a pleasure. We were greeted warmly, like old friends, and the exeperience from the start was terrific. We have been here 3-4 times before and the food and care have always been superb. The wine list is wide and interesting, and priced fairly. The endive salad was a treat and the tuna tartare appetizer was heavenly. My pork ribeye was tender, not dry and a real taste. My dessert, a tarte tatin, was worthy of a repeat. I just couldn't eat any more. Price was reasonable and we will, of course, head back there again...soon.",5,"Dined on May 13, 2017"
Very good quiet restaurant on Washington Square. There were at least half a dozen items on the menu that I wanted to order.,4,"Dined on May 10, 2017"
"I love North Square! And now, so do four of our friends who went with us for lunch on May 11. As always, fresh flowers greet you. Lovely staff. Great food. Five of us had salads and all were great and not overwhelming in size - sometimes, less is best - and another friend opted for the veggie option which she loved. Good desserts too. The restaurant is very comfortable and I have recommended it to many of the years.
Thank you North Square!",5,"Dined on May 10, 2017"
"My whole family loves this restaurant. I've been two years in a row for my birthday, as well as brunch and dinner over the years. Highly recommend.",5,"Dined on May 10, 2017"
"Consistently good food, served creatively, in a serene atmosphere.",4,"Dined on May 8, 2017"
"Always loved this place and the Sunday Brunch is amazing! Great food, value and comfort and cozy!",4,"Dined on May 8, 2017"
This is my go-to place for lunch and dinner with friends and I am never disappointed!!!,5,"Dined on April 26, 2017"
"Quaint, good value, well prepared food, humble, quiet service",4,"Dined on April 26, 2017"
Four of us were very happy with our food and the reasonably priced wine selection.,4,"Dined on April 25, 2017"
The Jazz Brunch -- that's the reason to be there on a Sunday! You have to tell them you want seating in the music room.,3,"Dined on April 23, 2017"
Good food and good jazz -- what a nice combination on a Sunday afternoon.  It's a cozy setting with lots of menu offerings to please almost any palate.  We enjoyed good music good conversation and attentive service.  Worth a try!,4,"Dined on April 23, 2017"
"Delicious food, wonderful location right in the village, friendly and extremely accommodating staff.  Highly recommend!",5,"Dined on April 23, 2017"
"This restaurant was quite a delight! We were staying at the Washington Square Hotel and needed someplace close for dinner, but were worried because sometimes hotels don't have the best eateries . We noticed right away that everyone who came in was a local and appeared to eat there regularly, and we saw why. The crab and corn salad was perfectly seasoned and very fresh. The rack of lamb with its dusting of parsley/mint/herbs, which were finely grated, was a divine flavor combination. Since I always order my meat medium rare, I was super happy to find a chef who REALLY knows how to do that properly (perfectly pink inside, crusty on the outside and hot all the way through!) The AuGratin potato accompaniment was also beautifully prepared with delicate, yet amazing flavor. Lastly, the creme brûlée was prepared with roasted coconut- unexpected and delicious!! We will definitely eat here again!",5,"Dined on April 23, 2017"
Lovely place near NYU.   Some of the best duck I've had since Paris.    Great service.,5,"Dined on April 22, 2017"
"A great experience. Not only was the good fantastic, the Sommelier brought personality and charm that made us feel like we were among friends. Highly recommended!",5,"Dined on April 20, 2017"
"A great place  to enjoy a meal with friends. Also the Jazz brunch is a real treat.  The trio at the Jazz Brunch is exceptionally good.  The food selection was varied, ample, and tasty.  A good time was had by all.",5,"Dined on April 19, 2017"
"Good food.  Very nice wine.  Nice ambiance. Service, so-so.",4,"Dined on April 18, 2017"
"The food was good, the decor was tasteful and welcoming, the seating was comfortable and not crowded and we had a very pleasant waiter.",4,"Dined on April 15, 2017"
Great service and dining experience!!!,5,"Dined on April 15, 2017"
My favorite neighborhood restaurant. Always satisfying.,4,"Dined on April 13, 2017"
"Good-value food, and a menu full of so many choices, it was hard to decide what to order.",4,"Dined on April 9, 2017"
"North Square is a great NYC restaurant with beautiful flower-filled decor, reasonable prices and consistently excellent food.",5,"Dined on April 9, 2017"
This place pleasantly surprised me! Got together with my brothers for our semi annual get together. The service was friendly and attentive and the food was excellent. Will be coming back again!,5,"Dined on April 7, 2017"
"This was my first time back for dinner in years to an old favorite.  The food was wonderful-creative and not too heavy, service was attentive without hovering, staff were welcoming and friendly.  I appreciated the comfortable banquette seating and the possibility of having quiet, private conversation.  We were there a long time and only ordered an entree (not even alcohol), but the staff treated us like valued customers they'd like to have back.  I'll be returning soon!",5,"Dined on April 4, 2017"
"Service was very poor. We were made to feel like out of town rubes. We had an early reservation. When we arrived, although the dining room was empty, we were taken to the worst table in the room, right next to the front entrance and the till. I assume it was because it was evident from our accents that we were not locals. When we asked for a different table, we were told all the other tables were reserved for their regular patrons. After refusing the offered table, in the completely empty room, we were grudgingly given the next table to it. the food was indifferent, and we have enjoyed much better for less cost, in central Manhattan.",1,"Dined on April 3, 2017"
"Wonderful experience.  I wanted  a good meal with modest noise level so I could enjoy my conversation with old friends. North square was perfect for that. Food was excellent. The server was knowledgeable about all aspects of the menu, from wine to food to describing in detail all the teas available.",5,"Dined on April 2, 2017"
"Always very good, never disappoints. One of my favorite local places",4,"Dined on April 2, 2017"
North Square is an old favorite on Washington Square Park near NYU. The food is truly first rate - better than what you expect from what is really a neighborhood restaurant not a destination. Service is good. The ambience is cosy. There is a nice bar in the back. They can accommodate larger groups but the place is really for twos and fours. I will be back!,4,"Dined on March 31, 2017"
"We celebrated my  niece's birthday, and the staff was aware of this, and catered to her.  As a result, we had a special after-dinner drink and a candle on our shared dessert.  Very friendly staff from the moment we walked in.  Looking forward to going back!",5,"Dined on March 31, 2017"
Super spot for Sunday brunch if you are doing something near Washington Square Park,4,"Dined on March 26, 2017"
"Wonderful staff, nice ambience, interesting
 Location and terrific food!!",5,"Dined on March 26, 2017"
Pleasant neighborhood fare… Excellent service and reasonably priced,4,"Dined on March 25, 2017"
"With consistently good food, ambiance, service, North Square is a great go to place for most occasions or just everyday dining.  I've attended many private parties in the back room which have also been excellent.",4,"Dined on March 23, 2017"
"We came for the singer, Hilary Gardner.  This was exactly what I wanted for a Jazz brunch--good music, good food, and an attentive and appreciative audience.",4,"Dined on March 19, 2017"
Always enjoy eating at North Square each time I am in New York and make a point of having dinner there the first night in town.,4,"Dined on March 14, 2017"
"Always a Wonderful dinner,   fish was perfect  as was the duck . Great appetizers too",5,"Dined on March 12, 2017"
Very impressed. My girlfriend had the fillet mignon and I the rack of lamb. Very well cooked with great cuts of meat,5,"Dined on March 11, 2017"
North Square is a very civilized restaurant.   It is a pleasure and a privilege to dine there.   I wish there were more restaurants like it in NYC.,5,"Dined on March 11, 2017"
"This meal was good however the fish was somewhat undercooked in  a way that made it very unappetizing. Overall the meal was not as good as usual, typically it is excellent .  The location where  we were seated, between other tables made it difficult to hear and have a conversation when the restaurant was somewhat full.",4,"Dined on March 11, 2017"
"Excellent neighborhood restaurant, very relaxing to be able to converse without shouting due to tables being  well-spaced and customer-friendly acoustics.",5,"Dined on March 8, 2017"
"Very good brunch (and lunch) menu. Cozy, but relatively quiet. Friendly service that does not rush your meal. Great location for exploring Greenwich Village and people watching.",4,"Dined on March 5, 2017"
"Eaten twice there and both times extremely enjoyable from Michael greeting you at the door and treating you like a regular to friendly waitress and fine and interesting food and good affordable wine selection 

Looking forward to returning often

Larry",5,"Dined on February 25, 2017"
"I love the burgers here, love the crabmeat and pear salad. This time I tried an omelette. The roasted red peppers and chorizo inside were delicious. The eggs were just slightly overdone, to my taste. Love the french fries, always.",4,"Dined on February 24, 2017"
"The food is always delicious. Wonderful selections for a wide variety of palates. A lovely place for a quiet dinner...romantic, lunch with a friend or business meal with a colleague. Service is always attendant never obsequious and it's a very comfortable room where you can relax and enjoy food that doesn't disappoint.",5,"Dined on February 23, 2017"
"had family in from out of town - wanted to show them the best of the Village - and this is it. Friendly helpful staff beautiful room decor and really top of the line food and drink.

We've been here before - we will be again",5,"Dined on February 22, 2017"
"Our server was excellent. Friendly, unobtrusive and efficient. And the food was delicious",4,"Dined on February 20, 2017"
"Top notch jazz brunch on Sundays.Great value.Music, food , atmosphere & service all quite remarkable",5,"Dined on February 20, 2017"
"Jazz brunch at this lovely restaurant. The food was very good  and it was a great setting. Great deal for $20.00 per person including 1 drink, choice of  brunch selections, coffee/tea and  bread basket.  No cover charge for the music which was tasteful .",4,"Dined on February 19, 2017"
I always love it here. Super cozy restaurant with great food.,5,"Dined on February 18, 2017"
"We enjoyed the bread and pickles. The salads were large and enough to share.  Main dish was ample and delicious, very fresh and seasonal.  Good wine list.  Very good desert options.  Excellent service - best we had in New York.",5,"Dined on February 18, 2017"
Excellent in every way. A group of four friends on a Thursday night and we were actually able to have an easy conversation. Unheard of these days in New York. The food and service are consistently of the highest quality. It's a real jewel in the Village.,5,"Dined on February 17, 2017"
"My wife and I went for a second time. The menu is great, as is the food we ordered. And the service really is top notch. Everyone there is so kind. We went on Valentines and they even gave us each a rose as we left. What a nice touch!",5,"Dined on February 15, 2017"
"We eat there often. Great menu that has daily special 3 course set price meals that can be ordered a la carts as well. Range of options for a full meal or just a bowl of excellent soup ( wild musroom which I had this visit) which changes often and a selection of tasty creative salads. Olives, pickles, and good bread comes with meal.  Excellent choice of wines. Great desserts. We alway leave satisfied.",5,"Dined on February 12, 2017"
All good.  Good food.  Cordial service.  Gentle noise level.  All good.,5,"Dined on February 12, 2017"
A wonderful neighborhood standby. Always good food and lovely setting in a historic area of Manhattan,5,"Dined on February 11, 2017"
It seems that we cannot visit New York City without having had at least one opportunity to taste the delights offered by North Square,5,"Dined on February 8, 2017"
"Having a meal in this well designed, lovely restaurant just off Washington Square Park in the heart of the Village (in the Washington Square Hotel) was an entirely pleasant experience - a place where you feel welcome, comfortable and can actually hear what people at your table are saying. A quite nice menu too.",4,"Dined on February 4, 2017"
Gracious service and inventive well executed menu. Nice wine selection also.,4,"Dined on February 1, 2017"
"Wow. What a great find! Went for restaurant week, and ended up ordering off reg menu. Excellent clam chowder, artic char, scallops, and wonderful cocktails. Also had a nice house wine. Sat in the bar area, which was intimate and quiet. Don't know about the other dining area. Will definitely return.",5,"Dined on January 31, 2017"
"I have had better meals at North Square in the past.  The short ribs was short on flavor, and less tender than expected.",4,"Dined on January 28, 2017"
"The restaurant is a neighborhood gem with reasonable prices and excellent service. Good place to go with friends because not a loud restaurant . We had salmon, scallops , key lime pie and chocolate molten cake. Have been there before and will return.",5,"Dined on January 28, 2017"
"Went for Restaurant Week prix fix dinner. Great service. Good menu choices. Casual, welcoming atmosphere conducive to conversation. The crepes appetizer was very good as was the duck.",4,"Dined on January 26, 2017"
This is a nice intimate small restaurant.  It has a simple limited menu.  The service was very good and attentive.,3,"Dined on January 24, 2017"
"Coming in out of a stormy night the ambience was perfect; cosy, warm, friendly. The food was delicious and beautifully presented. Endive salad was tasty and inventive, scallops and quinoa and scrod well prepared as well. This was a birthday celebration and the birthday celebrant's dessert, a ginger and pomegranate flan was graciously offered free of charge. it was delicious as was the key lime pie. Service was excellent and helpful.  This is a restaurant I return to again and again. It is a comfortable place to be in with friends and the food is great.",5,"Dined on January 24, 2017"
North Square is a regular favorite for lunch with friends. The food is always fresh and tasty; the service attentive.,5,"Dined on January 16, 2017"
"Slow service. One person trying to be the bartender, busboy and server all at the same time will not work well with customers.",3,"Dined on January 15, 2017"
"A thoroughly enjoyable dining experience. Excellent food, interesting and reasonably priced wines. Ambiance was delightful and server was very knowledgeable on winelist and menu and extremely pleasant. Unfortunately, she spilled duck-sauce on my slacks, but apologies and cleanup assistance were immediate and genuine, and our dessert was comp-ed. We would happily return, or recommend this place.",5,"Dined on January 15, 2017"
Cozy place with good food. I go there often- one of my favorite local restaurants.,5,"Dined on January 15, 2017"
"The customer service was impeccable!!! I cannot say enough how wonderful the service was while I was there for brunch. I will absolutely go there again. 

The decoration was my least favorite part of the experience but the food and service is fantastic.",5,"Dined on January 15, 2017"
"Friends went for a quiet, pleasant place to talk over brunch and North Square was a winner on all counts. Tomato soup and Crab/Pear salad were especially good. North Square is a small treasure in its own right.",4,"Dined on January 14, 2017"
Friends and I had not been for decades to North Square.  We were pleasantly surprised by its high quality food and quiet ambiance.  Would gladly recommend to others.,4,"Dined on January 12, 2017"
Good food and casual atmosphere. Easy to hold conversations and priced fairly.,4,"Dined on January 10, 2017"
"Even though it's 12 blocks away we think of it as our neighbourhood place for dinner AND lunch. The chef is super, wine list very good & at a decent price range, service warm and friendly. Perfect for before or after a show at NYU skirball",4,"Dined on January 10, 2017"
"Never disappoints.  Nice area on Washington Square Park within walking distance to many things.  Good value; friendly, professional staff; not a tourist trap.  Look forward to dining there again next time I'm in NYC.",5,"Dined on January 8, 2017"
"Excellent place to dine and have a ""catch up"" visit with friends or family. The menu is diverse  so just about all tastes are deliciously satisfied. The service is both friendly and professional and you are not rushed.  The calm, quiet ambiance allows for easy conversation. We have dined here many times and will continue to do so.",5,"Dined on January 6, 2017"
The duck I ordered was excellent - this is a great original diner and we will be back - is a great value for money dining option,5,"Dined on January 4, 2017"
"dull atmosphere, dull food, dull everything.  don't have the time",2,"Dined on January 3, 2017"
"We had a lovely dinner here to celebrate New Year's Eve.  They had two specials, both game, which were excellent choices.  I had the venison, rare, which was perfect.  My wife had the wild boar, served a juicy medium, which was also quiet good.  We shared a kale salad to start and crème bruele (apologies for the phonetic spelling) for desert.  This was not a party scene -- just an excellent meal, great service, right on Washington Square Park.",5,"Dined on January 1, 2017"
Maitre'd is the most delightful person. The warm welcome and attention is a wonderful aspect of this restaurant.,5,"Dined on December 31, 2016"
"North Square restaurant is one of the few gems left from the old W. Village, where quiet jazz plays on the speakers, where people come to talk and can actually hear each other, where we're surrounded by art, and attended to by caring staff. And the food superb with a large menu offering many choices. The prices may not be ""old Village"" but what is? It has kept the same look and atmosphere for decades and the same high standards. Every time an old friend and I come here, we say, ""Thank goodness for North Square, may it endure"" while around us the streets have given way to tacky shops, chain stores and restaurants that will be gone overnight.",5,"Dined on December 30, 2016"
"As always, my favorite.  In the almost twelve years me and my family have dined here, it has never disappointed.  I love North Square.",5,"Dined on December 27, 2016"
A reliable venue for outstanding food and quiet conversation.,5,"Dined on December 25, 2016"
